#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
chronology_noun	kAlakramikI/kAlAnukramikI
chronotron_noun	kronotroYna
chuffing_noun	apaxahana/aniyamiwa_xahana
chute_noun	pravaNikA
circuit_noun	paripaWa
circuital_noun	parikramI
circulant_noun	cakraka
circular_noun	vqwwIya/vqwwAkAra/varwula
circulation_noun	parisaFcaraNa
circumcentre_noun	parikeMxra
circumferential_noun	pariXIya
circumstellar_noun	wArAparimaNdalIya/pariwArakIya
cirrostratus_noun	sirostretasa_(meGa)
citation_noun	uxXaraNa
cladding_noun	aXipattana/CAxana
clamp_noun	klEMpa/SikaFjA
clarifier_noun	nirmalaka
classical_noun	cirasammawa/ciraprawiRTiwa/klAsikI
classification_noun	vargIkaraNa
classified_noun	vargIkqwa
classifier_noun	vargIkAraka/vargIkAriwra/vargIkara
clay_noun	mqwwikA
clearance_noun	kliyareMsa/niRkAsana
climate_noun	jalavAyu
climatic_noun	jalavAyavI/jalavAyu_sambanXI
climatology_noun	jalavAyu_vijFAna
clipper_noun	karwaka
clipping_noun	karwana
clocking_noun	kAlabanXana
clog_noun	upAroXa/avaroXa
clogging_noun	avaroXana/uparoXana
clone_noun	pUrvajaka
close_noun	saMvqwa/banxa
clot_noun	WakkA
cluster_noun	puFja/klastara/gucCa
clutch_noun	safgrAha/klaca
cluttering_noun	kalaravana/klatarana
co-dominant_noun	sahapraBAvI_guNAfka
co-operation_noun	sahakArI/sahayoga
co-volume_noun	saha-Ayawana
coagulation_noun	Wakke_bananA
coagulum_noun	skanxa
coarseness_noun	sWUlawA
coastal_noun	watIya
coat_noun	lepa
coating_noun	lepa/vilepana
code_noun	koda
coding_noun	kodana/kodiMga
coefficient_noun	guNAfka
coercivity_noun	nigrAhiwA
cofactor_noun	sahakAraka
coherence_noun	sambaxXawA/saMsakwawA
coherent_noun	sambaxXa/saMsakwa
coherently_noun	sambaxXawayA
cohesive_noun	saMsaFjaka
coil_noun	kuNdalI
coincidence_noun	sampAwa/saMyoga
coke_noun	koka
coking_noun	kokiMga
cold_noun	SIwa/awapwa
collaboration_noun	sahaBAgiwA
collapse_noun	nipAwa
collapsible_noun	safkocya
collator_noun	samAnukramiwra
collective_noun	sAmUhika
collector_noun	safgrAhaka/safgrAhI
collider_noun	safGattaka
colligate_noun	sahayojI
collimator_noun	koYlimetara/samAnwarakArI/samAnwariwra
collision_noun	safGatta/takkara/safGattana
colloquium_noun	samBARaNa
colonial_noun	nivAhI/OpaniveSika
column_noun	swamBa/kAlama
columnar_noun	swamBI
combuster_noun	prajvalaka
combustion_noun	xahana/prajvalana
combustor_noun	xahana_wanwra
comet_noun	XUmakewu/pucCala_wArA
cometary_noun	XUmakewava
command_noun	kamANda/AxeSa
commemorate_noun	yAxagAra
commission_noun	xalAlI/kamISana/Ayoga
commissioned_noun	aXikqwa/cAlU_kiyA
common_noun	sAmAnya
commutation_noun	xikparivarwana
commutator_noun	xikparivarwaka
compact_noun	saMhawi/susaMhawi/saMhawa/susaMhawa/saMhawa_karanA/saMhawa_honA
compacting_noun	saMhanana
compandor_noun	kampendara
companion_noun	sAWI/sahacara
comparator_noun	wulaniwra/kamperetara/wulanAkArI
compare_noun	wulanA_karanA
comparison_noun	wulanA
compartment_noun	kakRa
compatibility_noun	safgawawA
compatible_noun	safgawa/anukUla
compensating_noun	prawikArI
compensation_noun	prawipUrwi/prawipUraNa/kRawipUrwi
compensator_noun	kRawipUraka/prawipUraka
competency_noun	sakRamawA
compilation_noun	safkalana
complement_noun	pUraka/koYmplImeMta
completeness_noun	pUrNawA
complexity_noun	jatilawA
component_noun	Gataka
composition_noun	saMyojana/safGatana/saMracanA
comprehensive_noun	vyApaka
compress_noun	saNdIpana
compressibility_noun	sampIdyawA/coefficient_sampIdyawA_guNAfka
compression_noun	sampIdana
