#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
aggregate_,_coarse	motA_milAvA_(kafkrIta)#motA_milAvA_(kafkrIta)#noun#3#RM
aggregate_,_fine	mahIna_milAvA_(kafkrIta)#mahIna_milAvA_(kafkrIta)#noun#3#RM
aggregate_,_light_weight	halkA_milAvA_(kafkrIta)#halkA_milAvA_(kafkrIta)#noun#4#RM
aggregate_generation	sakala_uwpAxana#sakala_uwpAxana#noun#2#RM
aggregate_installed_plant_capacity	sakala_saMsWApiwa_saMyanwra_kRamawA#sakala_saMsWApiwa_saMyanwra_kRamawA#noun#4#RM
aggregate_maximum_demand	sakala_aXikawama_mAfga#sakala_aXikawama_mAfga#noun#3#RM
aggregate_proportioning	milAvA_AnupAwana/kafkrIta_miSraNa_AnupAwana#milAvA_AnupAwana/kafkrIta_miSraNa_AnupAwana#noun#2#RM
aggregate_weight	kula_BAra/sakala_BAra#kula_BAra/sakala_BAra#noun#2#RM
agreement_bond	anubanXa-pawra#anubanXa-pawra#noun#2#RM
agreement_to_mortgage	banXaka-pawra#banXaka-pawra#noun#3#RM
agreement_to_sale	vikraya_karAra/bikrI_kA_ikarAranAmA#vikraya_karAra/bikrI_kA_ikarAranAmA#noun#3#RM
agricultural_holding	jowa#jowa#noun#2#RM
agricultural_load	kqRi_vixyuwa_BAra#kqRi_vixyuwa_BAra#noun#2#RM
agricultural_pumping_set	kqRi_pampa_seta#kqRi_pampa_seta#noun#3#RM
agro-climatic_region	kqRi-jalavAyu_kRewra#kqRi-jalavAyu_kRewra#noun#2#RM
air_brick	Cixriwa_IMta/saranXra_IMta#Cixriwa_IMta/saranXra_IMta#noun#2#RM
air_circuit_breaker	vAyu_paripaWa_viyojaka#vAyu_paripaWa_viyojaka#noun#3#RM
air_compressor	vAyu_sampIdaka/vAyu_kamprEsara#vAyu_sampIdaka/vAyu_kamprEsara#noun#2#RM
air_cooler	vAyu_SIwaka#vAyu_SIwaka#noun#2#RM
air_cooling	vAyu_SIwana#vAyu_SIwana#noun#2#RM
air_duct	vAyu_nalI/vAyu_vAhinI#vAyu_nalI/vAyu_vAhinI#noun#2#RM
