##Added by Roja (25-05-12)	##Added by Roja (25-05-12)
##Science Compound Dictionary .	##Science CoMpound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'	##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################	############################################################################
Progeny	sanwawi
Properties	guNaXarma
Puberty	yOvanAramBa
Pulmonary_veins	PuPPusa_SirAez
Pupil	puwalI
Purification	SoXana
Quench	Samana
Rabies	jala-BIwi
Radiation	vikiraNa
Radius_of_curvature	vakrawA_wrijyA
Radius	wrijyA
Rainbow	iMxraXanuRa
Rancidity	vikqwaganXiwA
Reabsorption	punarvaSoRaNa
Reactant	aBikAraka
Rear_view_mirror	paSca_xqSya_xarpaNa
Recessive_traits	apraBAvI_lakRaNa
Recommendation	anuSaMsiwa
Recrystallisation	punaH_kristalIkaraNa
Reddish_brown	BUrA_lAla
Redox_reaction	aBikriyA
Reduction	apacayana
Refining	pariRkaraNa
Reflected_ray	parAvarwiwa_kiraNa
Reflection	parAvarwana
Reflex_action	prawivarwI_kriyA
Reflex_arc	prawivarwI_cApa
Refract	apavarwa
Refracted_ray	apavarwiwa_kiraNa
Refraction	apavarwana
Refractive_index	apavarwanAfka
Regeneration	punarjanana/punarUxBavana
Relaxation	SiWilawA
Renewable	navIkaraNIya
Reproduction	janana
Reservoir	jalASaya
Resistance	prawiroXa
Resistivity	prawiroXakawA
Resource	saMsAXana
Resources	sAXana
Respiration	Svasana
Response	anukriyA
Retina	retInA/xqRtipatala
Rheostat	XArA_niyanwraka
Right_hand_thumb_rule	xakRiNa-haswa_afguRTa_niyama
Rigid_structure	xqJa_saMracanA
Roasting	Barjana
Rubidium	rUbidiyama
Rudimentary_eye	alpavarXiwa_AzKa
Rust	jafga
Saliva	lAlArasa
Salivary_gland	lAlAgranWi
Saponification	sAbunIkaraNa
Saturation	sanwqpwa
Scattering	prakIrNana/vikIrNana
Seedling	navoxBixa
Self-pollination	svaparAgaNa
Self_sustaining_fission	svapoRI_viKaNdana/svanirvAha
Seminal_vesicle	SukrASaya
Sepal	bAhya_xala
Septum	viBAjika
Series_combination	SreNI_saMyojana
Sewage	vAhiwa_mala
Sex_chromosome	liMga_sUwra
Sex_determination	liMga_nirXAraNa
Shell	koSa
Short_circuit	laGu-pacana
Side	pArSrva
Smell_receptor	GrANa_grAhI
Sodium	sodiyama
Solar_cell	sOra_sela
Solar_constant	sOra_sWirAfka
Solar_cooker	sOra_kukara
Solar_water_heater	sOra_jala_wApaka
Solenoid	parinAlikA
Solution	vilayana
Sophisticated	pariRkqwa
Sparkle	camakanA
