usa_jagaha	vahAz/usa_jagaha
BalI_BAzwi	BalI-BAzwi/BalI_BAzwi/BarapUra/BalIBAzwi/BalI-BAnwi/BalI_BAnwi/BalIBAnwi/sarvawoBAva/acCI_waraha
bAez_bAjU	bAez/bAez_bAjU/bAyeM
akramawaH	kramahInawaH/akramawaH/avyavasWiwawaH/jahAz_wahAz
bilAnAgA	bilAnAgA
avixUra	pAsa_meM/najaxIka/najaxIka/nikata_meM/karIba_meM/samIpa/nikata/pAsa/karIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa
haragija	kaxApi/haragija/kawaI/kawwaI
nirnimeKa	apalaka/nirnimeRa/nirnimiRa/nirnimeKa
saralawA_se	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
alabawwA	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
rojAnA	prawixina/haraxina/niwya/hararoja/roja/niwa/roja/rojAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
paramparAnusAra	paramparAnusAra/baxaswUra
niHsafkoca	nisafkoca/niHsafkoca/nissafkoca/beXadaka/safkocahInawaH/beJiJaka/beKataka/beKatake/behicaka
uxAharaNArWa	uxAharaNArWa/uxAharaNawaH/uxAharaNa_svarUpa/masalana
agre	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
jEse_BI_ho	jEse_ho/jEse_BI_ho
iwane_meM	iwane_meM/isa_bIca/isI_bIca/isa_xOrAna/isa_xaramyAna
pExala	pExala
kqpA_karake	kqpayA/kqpApUrvaka/kqpA_pUrvaka/kqpA_karake/meharabAnI_karake
muKyawaH	viSeRakara/KAsakara/KAsa_wOra_para/KAsa_wOra_se/KAsawOra_para/KAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
acCA	TIka-TAka/TIkaTAka/TIka/acCA/baDiyA/acCA/baDiyA/acCI_waraha/acCI_waraha_se/tanAtana
webArA	wibArA/webArA
kaBI	kaBI/kisI_samaya
irAxawana	safkalpapUrvaka/irAxawana/irAxe_se/xqDawApUrvaka/niScayapUrvaka/jAna-bUJakara/jAnabUJakara/jAnabUJa_kara/amaxana/icCApUrvaka/mawipUrva/irAxawana
rawwiBara	jarA/jarA/jarA-sA/jarA-sA/rawwiBara/WodA/WodA-sA/WodA_sA/wanika/yawkiMciw
majabUwI_se	xqDawApUrvaka/majabUwI_se/majabUwI_se
mawipUrva	jAna-bUJakara/jAnabUJakara/jAnabUJa_kara/amaxana/icCApUrvaka/mawipUrva/irAxawana
nirxayawA_se	nirxayawApUrvaka/nirxayawA_se/berahamI_se/bexarxI_se/krUrawApUrvaka/barbarawApUrvaka/kaTorawA_se/kadAI_se
pacagunA	pAzcagunA/pacagunA
hOle	XIre/XIme/hOle/Ahiswe/AhiswA/Ahiswe_se/AhiswA_se/Asawe/Aswe
apekRayA	apekRAkqwa/wulanA_meM/apekRayA/mukAbale/mukAbale/banisbawa/se
vicArapUrvaka	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
nAKuSI_se	aprasannawApUrvaka/nArAjagIpUrvaka/nAKuSI_se/nArAjagIpUrvaka/nAKuSI_se
AsO	aso/asoM/AsO/isa_varRa/isa_sAla
sampUrNawaH	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAnwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/sampUrNawaH/sampUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
kaba_waka	kaba_waka/kaba
pAsa-padosa	Asa-pAsa/AsapAsa/agala-bagala/agala-bagala/AjU-bAjU/irxa-girxa/adosa-padosa/pAsa-padosa/pAsa_padosa
svawanwra_rUpa_se	svAXInawaH/svawanwra_rUpa_se
havA_kI_ora	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
xina-ba_xina	xina-prawixina/xina-xina/xina-para-xina/xina-baxina/xina-ba_xina/xinaprawixina/xinaxina/xinabaxina/xinoM-xina/xinoMxina
ciMwAhInawaH	niSciMwawaH/ciMwAhInawaH/beKatake
Jatake_ke_sAWa	Jatake_se/Jatake_ke_sAWa
tukura_tukura	takatakI_se/ekataka/tukura_tukura/taka-taka/animeRa/animiRa/animiKa/anamiKa/ikataka
havAnukUla	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
anuxivasa	prawixina/haraxina/niwya/hararoja/roja/niwa/roja/rojAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
vinayapUrvaka	namrawApUrvaka/vinayapUrvaka
Ahiswe-Ahiswe	XIre-XIre/XIre_XIre/Ahiswe-Ahiswe/AhiswA-AhiswA/hOle-hOle/hole-hole/raPwA-raPwA/alpaSaH
paraseMta	prawiSawa/PIsaxI/PIsaxI/paraseMta
aXorXa	Upara-nIce/aXoraXa/aXorXa/aXOrxXa
saccI_muccI	vAkaI/vAkaI/vAswava_meM/hakIkawana/hakIkawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
baKErIyawa	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKEra/baKEra/baKErIya/baKErIyawa/surakRiwawaH
saca-saca	saca-saca
kaBI_nahIM	kaBI_nahIM
sAWa_hI_sAWa	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
anumAnawaH	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
pAsa_padosa	Asa-pAsa/AsapAsa/agala-bagala/agala-bagala/AjU-bAjU/irxa-girxa/adosa-padosa/pAsa-padosa/pAsa_padosa
svagawa	svagawa
bevakwa	kusamaya/galawa_vakwa_para/asamaya/bevakwa/galawa_vakwa_para/bevakwa/bemOke/asamaya/bevakwa/bevakwa/galawa_samaya_para/galawa_samaya_para/bemOke
POrana	Jatapata/catapata/PatAPata/wuranwa/wuranwa/wawkAla/avilamba/avilamba/POrana/POrana/KatAka_se/wawkRaNa/wadAka_se/wada_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wada_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
bahuwa_hI	awyanwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKwa/saKwa/jamakara/mahA/nihAyawa/cUdAnwa/cUdAnwa/aByaXika/Agara
saByawaH	SiRtawaH/saByawaH/bAsaUra/SAlInawaH/SiRtAcArapUrvaka/salIke_se
ulatA-palatA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
avera-savera	xera-savera/avera-savera
Ajakala	PilahAla/PilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/samprawi
saccI-muccI	vAkaI/vAkaI/vAswava_meM/hakIkawana/hakIkawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
aWa	bAxa/bAxa_meM/paScAw/uparAnwa/ananwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa/aBI/PilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/samprawi/samprawi/aBU/aBE
avaSya	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka/avaSya/jarUra/jarUra
jugawa_lagAkara	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIke_se
ultA_pultA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
xogunA	xugunA/xUnA/xogunA/xuganA/xviguNa/xviguNiwa
subaha	sabere/savere/subaha/wadake/subaha-subaha/subaha_savere
